ID,Title,Authors,Year,Publication type,Venue / Publisher,DOI,arXiv ID,OpenReview ID,Primary category,Secondary categories,Keywords,Notes,URL
cankaya-system-overview-low-trust-compute-verification,"A System Overview for Near-Term, Low-Trust AI Compute Verification",N. Cankaya,2026,Working paper,Machine Intelligence Research Institute,,,,Inference verification,System architecture,low-trust verification; network taps; evidence capture; recomputation; privacy-preserving monitoring; air-gapped evaluation; AI governance,Proposes a retrofittable reference architecture separating evidence capture from later evaluation of randomly challenged workload records.,https://intelligence.org/wp-content/uploads/2026/06/A-system-overview-for-near-term-low-trust-AI-compute-verification.pdf
petrie-bounding-unexplained-information-exfiltration,Verifying AI Compute by Bounding Unexplained Information Exfiltration,J. Petrie; Y. Mühlhäuser,2026,Workshop poster,ICML 2026 Workshop on Technical AI Governance Research,,,qtgG5HZSsk,Inference verification,Information-flow accounting,AI compute verification; compute governance; hardware-independent protocols; zero-knowledge proofs; cryptographic protocols; confidential inference; challenge-based recomputation; prover isolation,"Proposes hardware-independent verification using prover isolation, cryptographic commitments, and challenge-based recomputation to bound unexplained information in network outputs.",https://openreview.net/forum?id=qtgG5HZSsk
cankaya-bit-exact-inference-verification,Bit-Exact AI Inference Verification Without Performance Tradeoffs,N. Cankaya,2026,Preprint,arXiv,10.48550/arXiv.2606.00279,2606.00279,,Inference verification,Deterministic and reproducible inference,bit-exact inference; GPU determinism; floating-point arithmetic; cross-hardware emulation; recomputation; covert adversaries,Shows that modern LLM inference can be recomputed bit-for-bit without performance-reducing determinism flags when relevant execution details are available.,https://arxiv.org/abs/2606.00279
chen-zkml,ZKML: An Optimizing System for ML Inference in Zero-Knowledge Proofs,B.-J. Chen; S. Waiwitlikhit; I. Stoica; D. Kang,2024,Conference,19th European Conference on Computer Systems (EuroSys 2024),10.1145/3627703.3650088,,,Zero-knowledge proofs,Inference proofs,zero-knowledge proofs; zkSNARKs; machine learning inference; compiler optimization; model privacy; verifiable audits,Presents an optimizing system for generating zero-knowledge proofs for realistic machine-learning inference and end-to-end audits.,https://doi.org/10.1145/3627703.3650088
waiwitlikhit-trustless-audits,Trustless Audits without Revealing Data or Models,S. Waiwitlikhit; I. Stoica; Y. Sun; T. Hashimoto; D. Kang,2024,Conference,41st International Conference on Machine Learning (ICML 2024),,2404.04500,bgyWXX8HCk,Zero-knowledge proofs,Model and dataset audits,zero-knowledge proofs; trustless audits; dataset commitments; model commitments; SGD; copyright auditing; model privacy,"Introduces ZkAudit, enabling private model and dataset properties to be audited using commitments and zero-knowledge proofs.",https://proceedings.mlr.press/v235/waiwitlikhit24a.html
sun-zkllm,zkLLM: Zero Knowledge Proofs for Large Language Models,H. Sun; J. Li; H. Zhang,2024,Conference,2024 ACM SIGSAC Conference on Computer and Communications Security (CCS 2024),10.1145/3658644.3670334,2404.16109,,Zero-knowledge proofs,Large-language-model inference,zero-knowledge proofs; large language models; zkLLM; inference verification; tlookup; attention; model privacy,"Develops specialized zero-knowledge protocols for large-language-model inference, including non-arithmetic operations and attention.",https://doi.org/10.1145/3658644.3670334
south-verifiable-evaluations-zksnarks,Verifiable evaluations of machine learning models using zkSNARKs,T. South; A. Camuto; S. Jain; S. Nguyen; R. Mahari; C. Paquin; J. Morton; A. Pentland,2024,Preprint,arXiv,10.48550/arXiv.2402.02675,2402.02675,,Zero-knowledge proofs,Verifiable model evaluations,zkSNARKs; model evaluation; evaluation attestations; private model weights; benchmarks; fairness; ONNX,Demonstrates verifiable evaluation attestations for private models by proving inference and aggregate evaluation results with zkSNARKs.,https://arxiv.org/abs/2402.02675
peigne-zero-knowledge-frontier-training,Zero knowledge verification for frontier AI training is possible,P. Peigné; K. Nguyen; P. Wang,2026,Preprint,arXiv,10.48550/arXiv.2606.05433,2606.05433,,Zero-knowledge proofs,Frontier model training,zero-knowledge proofs; frontier AI training; zkVM; Merkle commitments; BF16; FP32; compute governance; training verification,"Proposes an architecture for zero-knowledge verification of frontier dense pre-training using committed specifications, network observations, and intermediate-computation commitments.",https://arxiv.org/abs/2606.05433
reuter-proofs-compartmentalization,Verifiable constraints on frontier training via proofs of compartmentalization,D. Reuter et al.,2026,Workshop,ICML 2026 Workshop on Technical AI Governance Research,,,ajrtHuFw2S,Zero-knowledge proofs,Training constraints and compartmentalization,frontier training; proofs of compartmentalization; zero-knowledge proofs; training constraints; compute governance; cryptographic verification,Explores cryptographic proofs of compartmentalization as a means of enforcing verifiable constraints on frontier-model training.,https://openreview.net/forum?id=ajrtHuFw2S
fang-proof-of-learning-broken,Proof-of-Learning is Currently More Broken Than You Think,C. Fang; H. Jia; A. Thudi; M. Yaghini; C. A. Choquette-Choo; N. Dullerud; V. Chandrasekaran; N. Papernot,2023,Conference,8th IEEE European Symposium on Security and Privacy (EuroS&P 2023),,2208.03567,,Proof of learning and training,Attacks and limitations,proof of learning; spoofing attacks; checkpoint verification; adversarial robustness; deep learning optimization; training verification,"Demonstrates reproducible, low-cost attacks on proof-of-learning schemes and argues that robust verification depends on unresolved questions about deep-learning optimization.",https://arxiv.org/abs/2208.03567
jia-proof-of-learning-definitions-practice,Proof-of-Learning: Definitions and Practice,H. Jia; M. Yaghini; C. A. Choquette-Choo; N. Dullerud; A. Thudi; V. Chandrasekaran; N. Papernot,2021,Conference,42nd IEEE Symposium on Security and Privacy,,2103.05633,,Proof of learning and training,Training-compute proofs,proof of learning; stochastic gradient descent; training checkpoints; model ownership; distributed training; verified computation,"Introduces proof of learning as a way to demonstrate that a party performed the optimization required to obtain a model, using logged training artifacts and checkpoint verification.",https://ieeexplore.ieee.org/document/9519402/
shavit-catch-a-chinchilla,What does it take to catch a Chinchilla? Verifying Rules on Large-Scale Neural Network Training via Compute Monitoring,Y. Shavit,2023,Preprint,arXiv,10.48550/arXiv.2303.11341,2303.11341,,Proof of learning and training,Compute monitoring,large-scale training; compute monitoring; proof of learning; chip supply chain; model-weight snapshots; international agreements; privacy,"Proposes a compute-monitoring architecture combining on-chip weight snapshots, training records, and chip-supply-chain monitoring to verify rules on large-scale neural-network training.",https://arxiv.org/abs/2303.11341
choi-tools-verifying-training-data,Tools for Verifying Neural Models' Training Data,D. Choi; Y. Shavit; D. K. Duvenaud,2023,Conference,Advances in Neural Information Processing Systems 36 (NeurIPS 2023),,2307.00682,TwLHB8sKme,Proof of learning and training,Proof of training data,proof of training data; data provenance; random-seed commitments; training-data verification; temporary overfitting; model governance,"Introduces proof-of-training-data protocols, including verifiable random-seed commitments and tests based on temporary overfitting to determine whether data were used in training.",https://proceedings.neurips.cc/paper_files/paper/2023/hash/03e33e1f62e3302b47fe1d38a235921e-Abstract-Conference.html
baker-off-chip-compute-verification,Off-Chip Compute Verification,M. Baker,2026,Working document,,,,,Network and memory telemetry,Off-chip monitoring architecture,off-chip verification; network telemetry; memory telemetry; compute monitoring; AI datacenters; privacy-preserving verification,Working document on verification mechanisms implemented outside AI accelerators; bibliographic metadata is limited on the linked document.,https://docs.google.com/document/d/10317woljRRoX9Gtcwir1u36ytbA680xfYrazMcuLisA/edit?tab=t.0
cankaya-secure-network-taps,The Fundamentals and Feasibility of Secure Network Taps for Verifying AI Datacenter Use,N. Cankaya; A. Friedman; M. Baker,2026,Technical article,The Datacenter Lie Detector,,,,Network and memory telemetry,Secure network taps,network taps; AI datacenters; traffic capture; completeness; retrofitting; privacy-preserving monitoring; verification protocol,Assesses where and how network taps could be deployed to support retrofittable verification of AI-datacenter use.,https://nacicankaya.substack.com/p/research-note-the-fundamentals-and
bursuc-software-based-memory-erasure,Software-Based Memory Erasure with relaxed isolation requirements: Extended Version,S. Bursuc; R. Gil-Pons; S. Mauw; R. Trujillo-Rasua,2024,Preprint,arXiv,10.48550/arXiv.2401.06626,2401.06626,,Network and memory telemetry,Proof of secure erasure,proof of secure erasure; memory erasure; relaxed isolation; challenge-response protocols; external conspirators; communication latency,"Develops software-based proof-of-secure-erasure protocols that remain secure when a prover can communicate with external helpers, provided that communication is sufficiently slow.",https://arxiv.org/abs/2401.06626
monfared-timing-memory-telemetry-gpus,Timing and Memory Telemetry on GPUs for AI Governance,S. K. Monfared; F. Ganji; D. E. Holcomb; S. Tajik,2026,Preprint,arXiv,10.48550/arXiv.2602.09369,2602.09369,,Network and memory telemetry,GPU utilization telemetry,GPU telemetry; timing measurements; memory residency; proof of work; verifiable delay functions; GEMM; VRAM; compute governance,Evaluates timing- and memory-based measurement primitives for detecting GPU utilization without relying on trusted firmware or vendor counters.,https://arxiv.org/abs/2602.09369
petrie-guaranteeable-memory,Guaranteeable Memory: An HBM-Based Chiplet for Verifiable AI Workloads,J. Petrie,2025,Workshop,ICML 2025 Workshop on Technical AI Governance,,,uc79kOv0MV,Network and memory telemetry,Memory-enforcement hardware,HBM; chiplets; verifiable workloads; memory guarantees; trusted hardware; AI accelerators; compute governance,Proposes an HBM-based chiplet that mediates accelerator access to high-bandwidth memory to support verifiable constraints on AI workloads.,https://openreview.net/forum?id=uc79kOv0MV
petrie-flexible-hardware-enabled-guarantees,Flexible Hardware-Enabled Guarantees for AI Compute,J. Petrie; O. Aarne; N. Ammann; D. Dalrymple,2025,Preprint,arXiv,10.48550/arXiv.2506.15093,2506.15093,,Network and memory telemetry,Flexible hardware enforcement,flexHEG; guarantee processor; secure enclosure; compute monitoring; tamper resistance; model evaluation; training limits; policy enforcement,Introduces a flexible hardware-enabled guarantees architecture combining an auditable guarantee processor with a secure enclosure around AI accelerators.,https://arxiv.org/abs/2506.15093
ma-hardware-mechanisms-dynamically-throttle-ai,Hardware Mechanisms to Dynamically Throttle AI Performance,H. Ma; L. Malek; J. Forzani; D. Wentzlaff,2026,Preprint,arXiv,10.48550/arXiv.2607.18069,2607.18069,,Network and memory telemetry,Hardware performance throttling,AI performance throttling; GPU microarchitecture; cache way masking; rate limiting; latency insertion; shared memory; hardware safety,Evaluates low-cost microarchitectural controls for dynamically limiting AI workload performance through GPU memory-system resources.,https://arxiv.org/abs/2607.18069
rahman-detecting-hidden-ml-training,Detecting Hidden ML Training With Zero-Overhead Telemetry,R. Rahman; S. Tajdari,2026,Workshop paper,ICML 2026 Workshop on Technical AI Governance Research,10.48550/arXiv.2606.19262,2606.19262,,Power telemetry and side-channel attacks,Workload classification,NVML telemetry; GPU workload classification; hidden training; adversarial evasion; privacy-preserving monitoring; compute governance,"Evaluates adversarially robust classification of training workloads using zero-overhead, content-agnostic GPU telemetry across multiple GPU architectures.",https://arxiv.org/abs/2606.19262
cankaya-suppressing-side-channels,Suppressing Side Channels in an Untrusted Data Center via Retrofitted Defenses,N. Cankaya,2026,Technical article,MIRI Technical Governance Team,,,,Power telemetry and side-channel attacks,Side-channel suppression,side channels; covert communication; data centers; retrofitted defenses; electromagnetic shielding; jamming; power-line filtering; inspections,Surveys physical side channels in monitored AI data centers and proposes layered retrofitted defenses intended to bound covert communication bandwidth.,https://techgov.intelligence.org/blog/suppressing-side-channels-in-an-untrusted-data-center-via-retrofitted-defenses
chen-detecting-anomalies-hardware-telemetry,Detecting Anomalies in Machine Learning Infrastructure via Hardware Telemetry,Z. Chen; S. Chien; P. Qian; N. Zilberman,2025,Preprint,arXiv,10.48550/arXiv.2510.26008,2510.26008,,Power telemetry and side-channel attacks,Infrastructure anomaly detection,hardware telemetry; anomaly detection; machine-learning infrastructure; unsupervised learning; workload monitoring; system optimization,"Introduces System-X, an unsupervised hardware-telemetry pipeline for identifying system and network anomalies without inspecting ML workload contents.",https://arxiv.org/abs/2510.26008
gangwal-detecting-covert-cryptomining,Detecting Covert Cryptomining using HPC,A. Gangwal; S. G. Piazzetta; G. Lain; M. Conti,2019,Preprint,arXiv,10.48550/arXiv.1909.00268,1909.00268,,Power telemetry and side-channel attacks,Hardware-performance-counter classification,hardware performance counters; covert cryptomining; workload classification; machine learning; processor telemetry; anomaly detection,Uses hardware-performance-counter signatures and machine learning to detect covert cryptomining across multiple mining algorithms and processors.,https://arxiv.org/abs/1909.00268
latif-empirical-ai-training-power-demand,Empirical Measurements of AI Training Power Demand on a GPU-Accelerated Node,I. Latif; A. C. Newkirk; M. R. Carbone; A. Munir; Y. Lin; J. Koomey; X. Yu; Z. Dong,2024,Preprint,arXiv,10.48550/arXiv.2412.08602,2412.08602,,Power telemetry and side-channel attacks,Training power measurement,AI training; power demand; H100; GPU telemetry; energy measurement; workload signatures; data-center capacity planning,Reports node-level power measurements for ResNet and Llama 2 training on an eight-GPU H100 HGX system.,https://arxiv.org/abs/2412.08602
gregersen-input-dependent-power-usage-gpus,Input-Dependent Power Usage in GPUs,T. Gregersen; P. Patel; E. Choukse,2024,Preprint,arXiv,10.48550/arXiv.2409.18324,2409.18324,,Power telemetry and side-channel attacks,Input-dependent power variation,GPU power; GEMM; input dependence; data values; bit flips; sparsity; power side channels; workload telemetry,"Shows that changing GEMM input values while holding matrix shapes constant can alter GPU power consumption substantially, with implications for both optimization and telemetry.",https://arxiv.org/abs/2409.18324
horvath-barracuda,BarraCUDA: Edge GPUs do Leak DNN Weights,P. Horvath; L. Chmielewski; L. Weissbart; L. Batina; Y. Yarom,2025,Conference,34th USENIX Security Symposium,,2312.07783,,Power telemetry and side-channel attacks,Electromagnetic model extraction,electromagnetic side channels; GPU security; model-weight extraction; Nvidia Jetson Nano; correlation electromagnetic analysis; convolutional neural networks,Demonstrates extraction of neural-network parameters from an edge GPU using correlation electromagnetic analysis.,https://www.usenix.org/conference/usenixsecurity25/presentation/horvath
horvath-kraken,Kraken: Higher-order EM Side-Channel Attacks on DNNs in Near and Far Field,P. Horvath; I. Shumailov; L. Chmielewski; L. Batina; Y. Yarom,2026,Conference,IEEE Conference on Secure and Trustworthy Machine Learning (SaTML 2026),10.48550/arXiv.2603.02891,2603.02891,,Power telemetry and side-channel attacks,Near- and far-field electromagnetic leakage,electromagnetic side channels; Tensor Cores; model-weight extraction; near-field attacks; far-field attacks; LLM leakage; correlation power analysis,Extends GPU electromagnetic side-channel attacks to Tensor Cores and explores model leakage from far-field measurements.,https://arxiv.org/abs/2603.02891
ding-moecho,MoEcho: Exploiting Side-Channel Attacks to Compromise User Privacy in Mixture-of-Experts LLMs,R. Ding; T. Xu; X. Shen; A. A. Ding; Y. Fei,2025,Conference,2025 ACM SIGSAC Conference on Computer and Communications Security (CCS 2025),10.1145/3719027.3765174,2508.15036,,Power telemetry and side-channel attacks,Architectural side channels in mixture-of-experts models,mixture-of-experts; architectural side channels; prompt inference; response reconstruction; GPU performance counters; cache attacks; user privacy,Identifies CPU- and GPU-based architectural side channels that reveal routing patterns and sensitive inputs or outputs in mixture-of-experts models.,https://doi.org/10.1145/3719027.3765174
gao-deeptheft,DeepTheft: Stealing DNN Model Architectures through Power Side Channel,Y. Gao; H. Qiu; Z. Zhang; B. Wang; H. Ma; A. Abuadbba; M. Xue; A. Fu; S. Nepal,2024,Conference,2024 IEEE Symposium on Security and Privacy,10.1109/SP54263.2024.00250,2309.11894,,Power telemetry and side-channel attacks,Power-based architecture extraction,power side channels; model architecture extraction; RAPL; MLaaS; CPU frequency; time-series classification; model stealing,Uses low-rate power and CPU-frequency traces to recover complex DNN architectures and layer hyperparameters in shared computing environments.,https://doi.org/10.1109/SP54263.2024.00250
joud-practical-side-channel-extraction,A Practical Introduction to Side-Channel Extraction of Deep Neural Network Parameters,R. Joud; P.-A. Moëllic; S. Pontié; J.-B. Rigaud,2022,Conference,21st International Conference on Smart Card Research and Advanced Applications (CARDIS 2022),,2211.05590,,Power telemetry and side-channel attacks,Embedded-model parameter extraction,electromagnetic side channels; parameter extraction; Cortex-M7; IEEE-754; embedded neural networks; correlation analysis; model cloning,Presents a practical coarse-to-fine electromagnetic side-channel method for extracting floating-point neural-network parameters from a Cortex-M7 microcontroller.,https://link.springer.com/book/10.1007/978-3-031-25319-5
amodo-understanding-data-center-power-delivery,Understanding Data Center Power Delivery,S. Maxwell; C. Heimann; S. Reynolds,2026,Technical article,Amodo Design,,,,Power telemetry and side-channel attacks,Data-center power monitoring,data-center power delivery; electrical telemetry; measurement points; side channels; AI security; power infrastructure; monitoring architecture,"Maps AI data-center power-delivery stages, available measurements, and signals that may be relevant to AI-security monitoring.",https://amododesign.com/data-center-power-delivery/
obermaier-physical-security-enclosures,"The Past, Present, and Future of Physical Security Enclosures: From Battery-Backed Monitoring to PUF-Based Inherent Security and Beyond",J. Obermaier; V. Immler,2018,Journal article,Journal of Hardware and Systems Security,10.1007/s41635-018-0045-2,,,Tamper resistance and detection,Physical security enclosures,physical security enclosures; tamper resistance; tamper detection; active meshes; battery-backed monitoring; physical unclonable functions; hardware security,Surveys the evolution of physical security enclosures and discusses PUF-based approaches to inherent tamper evidence and response.,https://link.springer.com/article/10.1007/s41635-018-0045-2
ibm-4765-security-policy,IBM 4765 Cryptographic Coprocessor Security Module: Security Policy,IBM Corporation,2012,Security policy,NIST Cryptographic Module Validation Program,,,,Tamper resistance and detection,Tamper-responding cryptographic modules,IBM 4765; cryptographic coprocessor; hardware security module; FIPS 140-2 Level 4; tamper response; environmental sensors; secure erasure,Documents the security policy and tamper-responsive protections of the IBM 4765 cryptographic coprocessor validated under FIPS 140-2.,https://csrc.nist.gov/csrc/media/projects/cryptographic-module-validation-program/documents/security-policies/140sp1505.pdf
mosavirik-impedanceverif,ImpedanceVerif: On-Chip Impedance Sensing for System-Level Tampering Detection,T. Mosavirik; P. Schaumont; S. Tajik,2023,Journal article,"IACR Transactions on Cryptographic Hardware and Embedded Systems, 2023(1), 301–325",10.46586/tches.v2023.i1.301-325,,,Tamper resistance and detection,On-chip impedance sensing,impedance sensing; power-delivery network; system-level tampering; on-chip sensors; hardware implants; probing attacks; physical integrity,Uses on-chip impedance measurements of a system's power-delivery network to detect physical modifications and system-level tampering.,https://eprint.iacr.org/2022/946
staat-anti-tamper-radio,Anti-Tamper Radio: System-Level Tamper Detection for Computing Systems,P. Staat; J. Tobisch; C. Zenger; C. Paar,2022,Conference,2022 IEEE Symposium on Security and Privacy,10.1109/SP46214.2022.00067,2112.09014,,Tamper resistance and detection,Radio-frequency tamper sensing,anti-tamper radio; radio-frequency sensing; physical intrusion; system integrity; server enclosures; probing attacks; environmental robustness,Detects physical manipulation by monitoring changes in radio-wave propagation inside a protected computing-system enclosure.,https://ieeexplore.ieee.org/document/9833631/
sastry-computing-power-governance-ai,Computing Power and the Governance of Artificial Intelligence,G. Sastry; L. Heim; H. Belfield; M. Anderljung; M. Brundage; J. Hazell; C. O'Keefe; G. K. Hadfield; R. Ngo; K. Pilz; G. Gor; E. Bluemke; S. Shoker; J. Egan; R. F. Trager; S. Avin; A. Weller; Y. Bengio; D. Coyle,2024,Preprint,arXiv,10.48550/arXiv.2402.08797,2402.08797,,Motivations and policy proposals,Compute governance,compute governance; visibility; allocation; enforcement; compute thresholds; supply-chain concentration; privacy; policy risks,"Explains why compute is an attractive object of AI governance and analyzes governance applications, feasibility, risks, and research directions.",https://arxiv.org/abs/2402.08797
